"Event Date","Health Planning Region","Case Status","Number of Cases","Number of Hospitalizations","Number of Deaths"
2020-05-19,Central,Confirmed,199,5,2
2020-05-19,Eastern,Confirmed,66,5,3
2020-05-19,Eastern,Probable,1,0,0
2020-05-19,Northern,Probable,12,0,0
2020-05-19,Northern,Confirmed,550,19,11
2020-05-19,Northwest,Confirmed,106,13,1
2020-05-19,Northwest,Probable,10,0,0
2020-05-19,Southwest,Probable,3,0,0
2020-05-19,Southwest,Confirmed,15,3,0
2020-05-18,Central,Confirmed,215,5,1
2020-05-18,Eastern,Confirmed,70,3,2
2020-05-18,Eastern,Probable,2,0,0
2020-05-18,Northern,Confirmed,620,23,12
2020-05-18,Northern,Probable,15,0,0
2020-05-18,Northwest,Confirmed,155,11,0
2020-05-18,Northwest,Probable,13,0,0
2020-05-18,Southwest,Confirmed,42,3,1
2020-05-17,Central,Confirmed,95,7,3
2020-05-17,Central,Probable,0,0,1
2020-05-17,Eastern,Confirmed,36,6,2
2020-05-17,Northern,Confirmed,290,35,10
2020-05-17,Northern,Probable,6,0,1
2020-05-17,Northwest,Confirmed,87,7,2
2020-05-17,Northwest,Probable,14,1,0
2020-05-17,Southwest,Probable,1,0,0
2020-05-17,Southwest,Confirmed,21,1,0
2020-05-16,Central,Confirmed,93,2,4
2020-05-16,Eastern,Confirmed,34,3,2
2020-05-16,Northern,Probable,14,0,0
2020-05-16,Northern,Confirmed,388,24,14
2020-05-16,Northwest,Probable,8,0,0
2020-05-16,Northwest,Confirmed,131,6,4
2020-05-16,Southwest,Confirmed,13,1,0
2020-05-15,Central,Confirmed,155,6,2
2020-05-15,Central,Probable,2,0,0
2020-05-15,Eastern,Confirmed,53,3,2
2020-05-15,Northern,Confirmed,541,30,7
2020-05-15,Northern,Probable,23,0,0
2020-05-15,Northwest,Confirmed,158,7,3
2020-05-15,Northwest,Probable,13,1,0
2020-05-15,Southwest,Probable,0,0,1
2020-05-15,Southwest,Confirmed,31,0,0
2020-05-14,Central,Confirmed,124,7,1
2020-05-14,Eastern,Confirmed,61,3,2
2020-05-14,Eastern,Probable,2,0,0
2020-05-14,Northern,Probable,15,1,2
2020-05-14,Northern,Confirmed,496,41,10
2020-05-14,Northwest,Probable,6,0,0
2020-05-14,Northwest,Confirmed,99,8,0
2020-05-14,Southwest,Confirmed,19,0,0
2020-05-13,Central,Confirmed,176,3,2
2020-05-13,Central,Probable,0,0,1
2020-05-13,Eastern,Confirmed,63,5,2
2020-05-13,Northern,Probable,24,0,1
2020-05-13,Northern,Confirmed,506,29,7
2020-05-13,Northwest,Probable,6,0,0
2020-05-13,Northwest,Confirmed,108,3,0
2020-05-13,Southwest,Confirmed,25,3,0
2020-05-13,Southwest,Probable,1,0,0
2020-05-12,Central,Confirmed,226,4,1
2020-05-12,Eastern,Probable,2,1,0
2020-05-12,Eastern,Confirmed,109,5,5
2020-05-12,Northern,Probable,14,0,0
2020-05-12,Northern,Confirmed,492,38,12
2020-05-12,Northwest,Probable,9,0,0
2020-05-12,Northwest,Confirmed,114,8,1
2020-05-12,Southwest,Confirmed,37,1,1
2020-05-12,Southwest,Probable,1,0,0
2020-05-11,Central,Confirmed,126,8,2
2020-05-11,Eastern,Probable,1,0,0
2020-05-11,Eastern,Confirmed,57,3,3
2020-05-11,Northern,Probable,22,1,1
2020-05-11,Northern,Confirmed,593,41,20
2020-05-11,Northwest,Probable,6,0,0
2020-05-11,Northwest,Confirmed,118,8,5
2020-05-11,Southwest,Probable,1,0,0
2020-05-11,Southwest,Confirmed,18,1,2
2020-05-10,Central,Confirmed,102,5,2
2020-05-10,Eastern,Probable,1,0,0
2020-05-10,Eastern,Confirmed,31,6,2
2020-05-10,Northern,Probable,10,0,0
2020-05-10,Northern,Confirmed,307,38,16
2020-05-10,Northwest,Probable,8,0,0
2020-05-10,Northwest,Confirmed,98,8,3
2020-05-10,Southwest,Probable,1,0,0
2020-05-10,Southwest,Confirmed,17,4,0
2020-05-09,Central,Confirmed,72,5,1
2020-05-09,Eastern,Confirmed,65,5,3
2020-05-09,Eastern,Probable,1,0,0
2020-05-09,Northern,Confirmed,313,40,13
2020-05-09,Northern,Probable,16,0,2
2020-05-09,Northwest,Confirmed,94,10,1
2020-05-09,Northwest,Probable,12,0,1
2020-05-09,Southwest,Confirmed,16,0,0
2020-05-08,Central,Confirmed,164,10,5
2020-05-08,Eastern,Confirmed,71,3,3
2020-05-08,Eastern,Probable,2,0,0
2020-05-08,Northern,Confirmed,561,43,16
2020-05-08,Northern,Probable,14,0,2
2020-05-08,Northwest,Probable,13,0,0
2020-05-08,Northwest,Confirmed,108,11,3
2020-05-08,Southwest,Probable,1,0,0
2020-05-08,Southwest,Confirmed,23,1,1
2020-05-07,Central,Confirmed,127,8,3
2020-05-07,Eastern,Probable,3,0,1
2020-05-07,Eastern,Confirmed,65,3,5
2020-05-07,Northern,Probable,18,0,1
2020-05-07,Northern,Confirmed,462,42,20
2020-05-07,Northwest,Probable,2,0,0
2020-05-07,Northwest,Confirmed,99,8,5
2020-05-07,Southwest,Confirmed,29,0,0
2020-05-06,Central,Confirmed,96,9,1
2020-05-06,Eastern,Confirmed,98,5,5
2020-05-06,Eastern,Probable,8,0,0
2020-05-06,Northern,Confirmed,561,53,9
2020-05-06,Northern,Probable,24,0,2
2020-05-06,Northwest,Probable,10,0,0
2020-05-06,Northwest,Confirmed,67,10,5
2020-05-06,Southwest,Confirmed,20,1,1
2020-05-05,Central,Probable,0,0,1
2020-05-05,Central,Confirmed,113,11,4
2020-05-05,Eastern,Confirmed,143,5,7
2020-05-05,Eastern,Probable,2,0,1
2020-05-05,Northern,Probable,25,0,0
2020-05-05,Northern,Confirmed,480,52,22
2020-05-05,Northwest,Probable,10,0,1
2020-05-05,Northwest,Confirmed,95,7,4
2020-05-05,Southwest,Confirmed,20,1,0
2020-05-04,Central,Probable,1,0,0
2020-05-04,Central,Confirmed,127,9,2
2020-05-04,Eastern,Probable,2,0,0
2020-05-04,Eastern,Confirmed,127,11,2
2020-05-04,Northern,Probable,32,0,1
2020-05-04,Northern,Confirmed,563,62,14
2020-05-04,Northwest,Probable,6,0,1
2020-05-04,Northwest,Confirmed,109,13,5
2020-05-04,Southwest,Confirmed,21,3,1
2020-05-03,Central,Confirmed,73,12,2
2020-05-03,Eastern,Probable,2,0,0
2020-05-03,Eastern,Confirmed,36,7,3
2020-05-03,Northern,Probable,15,0,2
2020-05-03,Northern,Confirmed,321,54,15
2020-05-03,Northwest,Probable,8,0,0
2020-05-03,Northwest,Confirmed,99,15,3
2020-05-03,Southwest,Confirmed,15,1,1
2020-05-02,Central,Confirmed,86,4,4
2020-05-02,Central,Probable,2,0,0
2020-05-02,Eastern,Probable,2,0,1
2020-05-02,Eastern,Confirmed,72,6,4
2020-05-02,Northern,Confirmed,357,50,20
2020-05-02,Northern,Probable,13,2,2
2020-05-02,Northwest,Probable,11,0,0
2020-05-02,Northwest,Confirmed,105,6,3
2020-05-02,Southwest,Confirmed,14,4,0
2020-05-01,Central,Confirmed,147,11,1
2020-05-01,Eastern,Confirmed,105,13,4
2020-05-01,Eastern,Probable,3,0,0
2020-05-01,Northern,Confirmed,639,61,15
2020-05-01,Northern,Probable,41,0,0
2020-05-01,Northwest,Probable,15,0,1
2020-05-01,Northwest,Confirmed,124,8,3
2020-05-01,Southwest,Confirmed,35,2,3
2020-05-01,Southwest,Probable,1,0,0
2020-04-30,Central,Probable,0,0,1
2020-04-30,Central,Confirmed,95,5,6
2020-04-30,Eastern,Probable,5,0,0
2020-04-30,Eastern,Confirmed,139,12,7
2020-04-30,Northern,Confirmed,513,52,21
2020-04-30,Northern,Probable,38,0,2
2020-04-30,Northwest,Confirmed,86,7,3
2020-04-30,Northwest,Probable,12,0,0
2020-04-30,Southwest,Confirmed,22,2,4
2020-04-29,Central,Probable,3,0,1
2020-04-29,Central,Confirmed,182,2,4
2020-04-29,Eastern,Confirmed,68,12,4
2020-04-29,Eastern,Probable,5,0,0
2020-04-29,Northern,Probable,24,2,4
2020-04-29,Northern,Confirmed,444,53,13
2020-04-29,Northwest,Probable,9,0,0
2020-04-29,Northwest,Confirmed,91,5,3
2020-04-29,Southwest,Confirmed,26,1,1
2020-04-28,Central,Confirmed,118,7,4
2020-04-28,Eastern,Probable,3,0,0
2020-04-28,Eastern,Confirmed,75,10,2
2020-04-28,Northern,Probable,23,0,2
2020-04-28,Northern,Confirmed,459,53,20
2020-04-28,Northwest,Confirmed,129,8,2
2020-04-28,Northwest,Probable,12,1,0
2020-04-28,Southwest,Confirmed,14,2,2
2020-04-27,Central,Probable,3,0,1
2020-04-27,Central,Confirmed,93,16,6
2020-04-27,Eastern,Probable,1,0,1
2020-04-27,Eastern,Confirmed,107,5,4
2020-04-27,Northern,Confirmed,551,57,9
2020-04-27,Northern,Probable,26,2,1
2020-04-27,Northwest,Confirmed,111,11,2
2020-04-27,Northwest,Probable,11,0,0
2020-04-27,Southwest,Probable,1,0,0
2020-04-27,Southwest,Confirmed,18,3,2
2020-04-26,Central,Probable,1,0,0
2020-04-26,Central,Confirmed,82,4,6
2020-04-26,Eastern,Probable,1,0,0
2020-04-26,Eastern,Confirmed,62,4,3
2020-04-26,Northern,Probable,15,0,4
2020-04-26,Northern,Confirmed,348,51,16
2020-04-26,Northwest,Probable,16,0,0
2020-04-26,Northwest,Confirmed,78,4,0
2020-04-26,Southwest,Confirmed,58,3,0
2020-04-26,Southwest,Probable,1,0,0
2020-04-25,Central,Probable,1,0,0
2020-04-25,Central,Confirmed,58,5,2
2020-04-25,Eastern,Probable,5,0,0
2020-04-25,Eastern,Confirmed,105,10,2
2020-04-25,Northern,Confirmed,350,36,17
2020-04-25,Northern,Probable,25,0,4
2020-04-25,Northwest,Probable,14,0,0
2020-04-25,Northwest,Confirmed,67,2,2
2020-04-25,Southwest,Confirmed,18,2,1
2020-04-24,Central,Confirmed,95,1,3
2020-04-24,Eastern,Probable,4,0,0
2020-04-24,Eastern,Confirmed,133,12,4
2020-04-24,Northern,Confirmed,508,58,16
2020-04-24,Northern,Probable,21,0,3
2020-04-24,Northwest,Confirmed,88,9,4
2020-04-24,Northwest,Probable,17,0,0
2020-04-24,Southwest,Confirmed,26,1,3
2020-04-23,Central,Probable,1,0,0
2020-04-23,Central,Confirmed,101,7,7
2020-04-23,Eastern,Confirmed,112,13,2
2020-04-23,Northern,Confirmed,408,41,7
2020-04-23,Northern,Probable,34,0,4
2020-04-23,Northwest,Probable,9,0,0
2020-04-23,Northwest,Confirmed,85,5,3
2020-04-23,Southwest,Probable,0,0,1
2020-04-23,Southwest,Confirmed,37,1,1
2020-04-22,Central,Probable,2,0,0
2020-04-22,Central,Confirmed,95,9,6
2020-04-22,Eastern,Confirmed,82,6,4
2020-04-22,Eastern,Probable,7,0,0
2020-04-22,Northern,Confirmed,387,48,15
2020-04-22,Northern,Probable,23,0,1
2020-04-22,Northwest,Probable,13,0,0
2020-04-22,Northwest,Confirmed,170,6,1
2020-04-22,Southwest,Confirmed,20,0,1
2020-04-21,Central,Confirmed,74,5,3
2020-04-21,Central,Probable,1,0,0
2020-04-21,Eastern,Probable,1,0,2
2020-04-21,Eastern,Confirmed,102,6,2
2020-04-21,Northern,Probable,17,0,1
2020-04-21,Northern,Confirmed,389,62,21
2020-04-21,Northwest,Confirmed,76,24,3
2020-04-21,Northwest,Probable,12,1,0
2020-04-21,Southwest,Probable,1,0,0
2020-04-21,Southwest,Confirmed,19,4,0
2020-04-20,Central,Confirmed,87,12,2
2020-04-20,Central,Probable,0,1,0
2020-04-20,Eastern,Probable,2,0,0
2020-04-20,Eastern,Confirmed,172,7,1
2020-04-20,Northern,Confirmed,470,58,19
2020-04-20,Northern,Probable,39,0,4
2020-04-20,Northwest,Confirmed,88,8,0
2020-04-20,Northwest,Probable,23,0,1
2020-04-20,Southwest,Probable,1,0,0
2020-04-20,Southwest,Confirmed,28,1,0
2020-04-19,Central,Confirmed,44,6,7
2020-04-19,Central,Probable,1,0,1
2020-04-19,Eastern,Confirmed,77,5,2
2020-04-19,Northern,Probable,15,1,0
2020-04-19,Northern,Confirmed,264,45,24
2020-04-19,Northwest,Probable,14,0,0
2020-04-19,Northwest,Confirmed,60,4,3
2020-04-19,Southwest,Probable,1,0,0
2020-04-19,Southwest,Confirmed,15,2,1
2020-04-18,Central,Confirmed,41,6,4
2020-04-18,Eastern,Probable,2,0,0
2020-04-18,Eastern,Confirmed,60,7,3
2020-04-18,Northern,Probable,17,1,0
2020-04-18,Northern,Confirmed,243,37,10
2020-04-18,Northwest,Probable,4,0,0
2020-04-18,Northwest,Confirmed,56,12,5
2020-04-18,Southwest,Confirmed,17,0,0
2020-04-17,Central,Confirmed,80,2,6
2020-04-17,Central,Probable,1,0,0
2020-04-17,Eastern,Probable,6,0,0
2020-04-17,Eastern,Confirmed,154,8,4
2020-04-17,Northern,Confirmed,339,47,15
2020-04-17,Northern,Probable,29,1,2
2020-04-17,Northwest,Probable,5,0,0
2020-04-17,Northwest,Confirmed,79,4,3
2020-04-17,Southwest,Confirmed,10,3,1
2020-04-16,Central,Confirmed,106,14,11
2020-04-16,Eastern,Confirmed,71,7,3
2020-04-16,Eastern,Probable,2,0,0
2020-04-16,Northern,Probable,14,0,0
2020-04-16,Northern,Confirmed,358,43,14
2020-04-16,Northwest,Probable,6,0,0
2020-04-16,Northwest,Confirmed,61,7,0
2020-04-16,Southwest,Confirmed,14,2,1
2020-04-15,Central,Probable,2,0,0
2020-04-15,Central,Confirmed,62,16,11
2020-04-15,Eastern,Probable,3,0,0
2020-04-15,Eastern,Confirmed,43,9,2
2020-04-15,Northern,Probable,16,0,0
2020-04-15,Northern,Confirmed,305,47,11
2020-04-15,Northwest,Confirmed,81,7,0
2020-04-15,Northwest,Probable,6,0,0
2020-04-15,Southwest,Probable,1,0,0
2020-04-15,Southwest,Confirmed,13,2,1
2020-04-14,Central,Probable,2,0,0
2020-04-14,Central,Confirmed,90,8,8
2020-04-14,Eastern,Probable,1,0,0
2020-04-14,Eastern,Confirmed,46,4,1
2020-04-14,Northern,Confirmed,297,38,12
2020-04-14,Northern,Probable,23,0,1
2020-04-14,Northwest,Probable,5,0,0
2020-04-14,Northwest,Confirmed,92,11,3
2020-04-14,Southwest,Confirmed,19,3,0
2020-04-14,Southwest,Probable,1,0,0
2020-04-13,Central,Probable,3,0,0
2020-04-13,Central,Confirmed,78,9,8
2020-04-13,Eastern,Probable,3,0,0
2020-04-13,Eastern,Confirmed,80,12,4
2020-04-13,Northern,Confirmed,371,51,12
2020-04-13,Northern,Probable,33,2,4
2020-04-13,Northwest,Probable,11,0,0
2020-04-13,Northwest,Confirmed,97,14,2
2020-04-13,Southwest,Confirmed,9,1,0
2020-04-12,Central,Probable,0,0,1
2020-04-12,Central,Confirmed,54,15,7
2020-04-12,Eastern,Probable,4,0,0
2020-04-12,Eastern,Confirmed,31,7,4
2020-04-12,Northern,Probable,22,0,1
2020-04-12,Northern,Confirmed,219,41,8
2020-04-12,Northwest,Confirmed,80,7,0
2020-04-12,Northwest,Probable,8,0,0
2020-04-12,Southwest,Probable,1,0,0
2020-04-12,Southwest,Confirmed,13,1,1
2020-04-11,Central,Confirmed,44,11,6
2020-04-11,Central,Probable,2,0,0
2020-04-11,Eastern,Probable,4,0,0
2020-04-11,Eastern,Confirmed,27,8,1
2020-04-11,Northern,Confirmed,204,28,3
2020-04-11,Northern,Probable,15,0,1
2020-04-11,Northwest,Confirmed,65,2,2
2020-04-11,Northwest,Probable,7,0,0
2020-04-11,Southwest,Confirmed,15,3,1
2020-04-11,Southwest,Probable,2,0,0
2020-04-10,Central,Probable,1,0,1
2020-04-10,Central,Confirmed,98,10,7
2020-04-10,Eastern,Confirmed,73,9,2
2020-04-10,Eastern,Probable,6,0,0
2020-04-10,Northern,Probable,21,0,0
2020-04-10,Northern,Confirmed,269,36,9
2020-04-10,Northwest,Probable,11,0,0
2020-04-10,Northwest,Confirmed,93,7,2
2020-04-10,Southwest,Confirmed,10,1,2
2020-04-10,Southwest,Probable,1,0,0
2020-04-09,Central,Confirmed,87,14,8
2020-04-09,Central,Probable,1,0,1
2020-04-09,Eastern,Probable,7,0,0
2020-04-09,Eastern,Confirmed,39,17,2
2020-04-09,Northern,Confirmed,223,35,3
2020-04-09,Northern,Probable,14,0,1
2020-04-09,Northwest,Probable,3,0,0
2020-04-09,Northwest,Confirmed,62,9,0
2020-04-09,Southwest,Confirmed,14,1,0
2020-04-08,Central,Confirmed,111,13,2
2020-04-08,Central,Probable,2,0,1
2020-04-08,Eastern,Confirmed,39,6,4
2020-04-08,Eastern,Probable,6,0,0
2020-04-08,Northern,Confirmed,216,28,4
2020-04-08,Northern,Probable,18,0,2
2020-04-08,Northwest,Confirmed,63,10,0
2020-04-08,Northwest,Probable,10,0,0
2020-04-08,Southwest,Confirmed,12,3,1
2020-04-07,Central,Confirmed,88,20,7
2020-04-07,Central,Probable,1,0,2
2020-04-07,Eastern,Confirmed,37,9,0
2020-04-07,Northern,Probable,10,0,0
2020-04-07,Northern,Confirmed,225,23,5
2020-04-07,Northwest,Probable,9,0,0
2020-04-07,Northwest,Confirmed,49,8,2
2020-04-07,Southwest,Confirmed,17,3,0
2020-04-06,Central,Probable,3,0,0
2020-04-06,Central,Confirmed,86,16,8
2020-04-06,Eastern,Confirmed,37,9,2
2020-04-06,Eastern,Probable,7,0,0
2020-04-06,Northern,Probable,20,0,2
2020-04-06,Northern,Confirmed,267,39,4
2020-04-06,Northwest,Confirmed,66,10,0
2020-04-06,Northwest,Probable,10,0,0
2020-04-06,Southwest,Confirmed,23,9,2
2020-04-06,Southwest,Probable,1,0,0
2020-04-05,Central,Confirmed,69,9,6
2020-04-05,Eastern,Confirmed,16,7,2
2020-04-05,Eastern,Probable,2,0,0
2020-04-05,Northern,Confirmed,151,38,3
2020-04-05,Northern,Probable,17,0,0
2020-04-05,Northwest,Confirmed,48,4,0
2020-04-05,Northwest,Probable,6,0,0
2020-04-05,Southwest,Confirmed,12,2,0
2020-04-04,Central,Confirmed,43,8,6
2020-04-04,Eastern,Confirmed,27,8,1
2020-04-04,Eastern,Probable,2,0,0
2020-04-04,Northern,Probable,12,0,0
2020-04-04,Northern,Confirmed,178,32,1
2020-04-04,Northwest,Confirmed,38,9,0
2020-04-04,Northwest,Probable,3,0,0
2020-04-04,Southwest,Probable,1,0,0
2020-04-04,Southwest,Confirmed,17,3,1
2020-04-03,Central,Probable,2,0,1
2020-04-03,Central,Confirmed,51,10,4
2020-04-03,Eastern,Probable,1,0,0
2020-04-03,Eastern,Confirmed,44,16,0
2020-04-03,Northern,Probable,10,1,0
2020-04-03,Northern,Confirmed,174,28,6
2020-04-03,Northwest,Confirmed,43,7,1
2020-04-03,Northwest,Probable,3,0,0
2020-04-03,Southwest,Confirmed,19,2,0
2020-04-02,Central,Confirmed,48,13,7
2020-04-02,Central,Probable,1,0,0
2020-04-02,Eastern,Probable,3,0,1
2020-04-02,Eastern,Confirmed,35,11,1
2020-04-02,Northern,Confirmed,175,26,1
2020-04-02,Northern,Probable,12,0,0
2020-04-02,Northwest,Confirmed,49,5,0
2020-04-02,Northwest,Probable,4,0,0
2020-04-02,Southwest,Confirmed,13,1,0
2020-04-01,Central,Probable,1,0,0
2020-04-01,Central,Confirmed,64,13,5
2020-04-01,Eastern,Probable,3,0,0
2020-04-01,Eastern,Confirmed,34,17,1
2020-04-01,Northern,Probable,16,0,1
2020-04-01,Northern,Confirmed,161,29,3
2020-04-01,Northwest,Probable,13,0,0
2020-04-01,Northwest,Confirmed,42,8,1
2020-04-01,Southwest,Confirmed,15,3,0
2020-04-01,Southwest,Probable,1,0,0
2020-03-31,Central,Confirmed,79,10,5
2020-03-31,Eastern,Probable,1,0,0
2020-03-31,Eastern,Confirmed,48,10,1
2020-03-31,Northern,Probable,9,0,1
2020-03-31,Northern,Confirmed,118,28,3
2020-03-31,Northwest,Probable,3,1,0
2020-03-31,Northwest,Confirmed,33,5,1
2020-03-31,Southwest,Confirmed,8,4,0
2020-03-30,Central,Probable,1,0,0
2020-03-30,Central,Confirmed,114,9,3
2020-03-30,Eastern,Confirmed,46,16,2
2020-03-30,Eastern,Probable,5,0,1
2020-03-30,Northern,Probable,11,0,0
2020-03-30,Northern,Confirmed,165,32,1
2020-03-30,Northwest,Probable,10,0,0
2020-03-30,Northwest,Confirmed,34,7,0
2020-03-30,Southwest,Confirmed,17,4,0
2020-03-30,Southwest,Probable,1,0,0
2020-03-29,Central,Confirmed,40,14,2
2020-03-29,Eastern,Probable,2,0,0
2020-03-29,Eastern,Confirmed,27,19,1
2020-03-29,Northern,Confirmed,89,24,4
2020-03-29,Northern,Probable,5,0,0
2020-03-29,Northwest,Probable,3,0,0
2020-03-29,Northwest,Confirmed,22,6,1
2020-03-29,Southwest,Confirmed,11,6,0
2020-03-28,Central,Confirmed,45,10,2
2020-03-28,Eastern,Confirmed,34,22,2
2020-03-28,Eastern,Probable,1,0,0
2020-03-28,Northern,Probable,5,0,0
2020-03-28,Northern,Confirmed,105,22,1
2020-03-28,Northwest,Probable,2,0,0
2020-03-28,Northwest,Confirmed,27,10,1
2020-03-28,Southwest,Probable,1,0,0
2020-03-28,Southwest,Confirmed,11,2,2
2020-03-27,Central,Confirmed,50,11,3
2020-03-27,Central,Probable,1,0,2
2020-03-27,Eastern,Probable,2,0,0
2020-03-27,Eastern,Confirmed,31,15,1
2020-03-27,Northern,Confirmed,115,20,4
2020-03-27,Northern,Probable,3,0,0
2020-03-27,Northwest,Confirmed,38,8,1
2020-03-27,Southwest,Confirmed,17,3,0
2020-03-26,Central,Confirmed,56,11,4
2020-03-26,Central,Probable,8,0,0
2020-03-26,Eastern,Confirmed,35,10,0
2020-03-26,Eastern,Probable,1,0,0
2020-03-26,Northern,Confirmed,126,22,0
2020-03-26,Northern,Probable,2,0,1
2020-03-26,Northwest,Confirmed,28,5,0
2020-03-26,Southwest,Confirmed,12,2,0
2020-03-25,Central,Confirmed,51,10,1
2020-03-25,Central,Probable,0,0,1
2020-03-25,Eastern,Probable,1,0,0
2020-03-25,Eastern,Confirmed,47,17,1
2020-03-25,Northern,Confirmed,113,18,1
2020-03-25,Northern,Probable,5,0,0
2020-03-25,Northwest,Probable,3,0,0
2020-03-25,Northwest,Confirmed,33,9,0
2020-03-25,Southwest,Confirmed,8,1,1
2020-03-24,Central,Confirmed,47,8,1
2020-03-24,Central,Probable,8,0,0
2020-03-24,Eastern,Confirmed,41,13,0
2020-03-24,Eastern,Probable,1,0,0
2020-03-24,Northern,Confirmed,109,25,2
2020-03-24,Northern,Probable,2,0,0
2020-03-24,Northwest,Confirmed,18,6,0
2020-03-24,Northwest,Probable,4,0,0
2020-03-24,Southwest,Confirmed,15,1,0
2020-03-23,Central,Confirmed,47,13,1
2020-03-23,Central,Probable,2,0,0
2020-03-23,Eastern,Probable,1,0,0
2020-03-23,Eastern,Confirmed,50,5,0
2020-03-23,Northern,Probable,12,0,0
2020-03-23,Northern,Confirmed,114,18,0
2020-03-23,Northwest,Probable,4,0,0
2020-03-23,Northwest,Confirmed,26,4,0
2020-03-23,Southwest,Confirmed,10,1,0
2020-03-23,Southwest,Probable,1,0,0
2020-03-22,Central,Confirmed,15,4,2
2020-03-22,Central,Probable,1,0,0
2020-03-22,Eastern,Confirmed,24,7,2
2020-03-22,Eastern,Probable,1,0,0
2020-03-22,Northern,Probable,8,0,0
2020-03-22,Northern,Confirmed,101,8,0
2020-03-22,Northwest,Confirmed,22,5,0
2020-03-22,Northwest,Probable,1,0,0
2020-03-22,Southwest,Confirmed,5,0,0
2020-03-21,Central,Confirmed,17,3,0
2020-03-21,Central,Probable,3,0,0
2020-03-21,Eastern,Confirmed,38,7,3
2020-03-21,Eastern,Probable,1,0,0
2020-03-21,Northern,Confirmed,85,10,1
2020-03-21,Northern,Probable,4,0,0
2020-03-21,Northwest,Probable,3,0,0
2020-03-21,Northwest,Confirmed,23,4,0
2020-03-21,Southwest,Confirmed,11,3,0
2020-03-20,Central,Confirmed,48,5,0
2020-03-20,Central,Probable,1,0,0
2020-03-20,Eastern,Confirmed,38,7,1
2020-03-20,Eastern,Probable,1,0,0
2020-03-20,Northern,Probable,7,0,0
2020-03-20,Northern,Confirmed,91,5,0
