"Report Date","Health District",Sex,"Number of Cases","Number of Hospitalizations","Number of Deaths"
08/12/2020,"Prince William",Female,5920,428,88
08/12/2020,"Virginia Beach",Female,2765,129,25
08/12/2020,Norfolk,Female,2012,108,16
08/12/2020,"Three Rivers",Female,423,41,10
08/12/2020,Arlington,Male,1574,243,69
08/12/2020,"Central Shenandoah",Female,1523,111,30
08/12/2020,Southside,Female,383,32,20
08/13/2020,Southside,"Not Reported",4,0,0
08/13/2020,Chesapeake,Female,1706,130,18
08/13/2020,Richmond,Female,1656,156,12
08/13/2020,Roanoke,Male,486,14,6
08/13/2020,Fairfax,"Not Reported",116,1,1
08/13/2020,"Thomas Jefferson",Female,1088,79,24
08/13/2020,Chesapeake,"Not Reported",4,0,0
08/13/2020,"Cumberland Plateau",Male,172,16,2
08/13/2020,"Eastern Shore",Female,706,68,25
08/13/2020,"Lord Fairfax","Not Reported",10,0,0
08/13/2020,Rappahannock,"Not Reported",9,1,0
08/13/2020,"Central Shenandoah","Not Reported",0,0,0
08/13/2020,Peninsula,Male,1440,88,21
08/13/2020,Norfolk,Male,1830,103,17
08/13/2020,Alexandria,Female,1562,129,33
08/13/2020,Lenowisco,Male,226,22,6
08/13/2020,Pittsylvania-Danville,Female,525,49,8
08/13/2020,"New River","Not Reported",4,0,0
08/13/2020,Chesterfield,"Not Reported",130,0,2
08/13/2020,Loudoun,Male,2662,199,43
08/13/2020,"Rappahannock Rapidan",Female,1019,58,11
08/13/2020,Piedmont,Female,456,51,8
08/13/2020,Richmond,Male,1575,162,27
08/13/2020,Crater,Female,1141,122,38
08/13/2020,Portsmouth,Female,1041,73,12
08/13/2020,Arlington,"Not Reported",5,0,0
08/13/2020,"Mount Rogers","Not Reported",3,0,0
08/13/2020,"Thomas Jefferson","Not Reported",2,0,0
08/13/2020,"Three Rivers","Not Reported",21,0,0
08/13/2020,Hampton,Male,580,35,3
08/13/2020,Alleghany,Male,456,30,8
08/13/2020,Roanoke,Female,540,13,9
08/13/2020,Loudoun,"Not Reported",35,0,0
08/13/2020,Fairfax,Female,8573,843,267
08/13/2020,"Western Tidewater",Male,1006,74,45
08/13/2020,Peninsula,"Not Reported",14,0,0
08/13/2020,"New River",Male,330,22,5
08/13/2020,"Central Shenandoah",Male,1320,108,30
08/13/2020,Southside,Male,460,37,16
08/13/2020,Chesterfield,Male,2326,141,53
08/13/2020,Arlington,Female,1546,194,66
08/13/2020,Rappahannock,Male,1786,165,35
08/13/2020,"Central Virginia",Male,744,39,11
08/13/2020,Alleghany,"Not Reported",8,0,0
08/13/2020,Henrico,Male,1870,177,86
08/13/2020,"Thomas Jefferson",Male,957,69,20
08/13/2020,"Lord Fairfax",Male,1220,122,42
08/13/2020,"Three Rivers",Male,686,35,7
08/13/2020,Richmond,"Not Reported",49,3,2
08/13/2020,Pittsylvania-Danville,Male,429,29,2
08/13/2020,Portsmouth,"Not Reported",3,0,0
08/13/2020,Norfolk,"Not Reported",4,0,0
08/13/2020,Chesapeake,Male,1372,117,23
08/13/2020,Chickahominy,Female,566,66,22
08/13/2020,"Prince William",Male,5831,554,118
08/13/2020,"Eastern Shore","Not Reported",9,0,0
08/13/2020,"Eastern Shore",Male,693,64,21
08/13/2020,"Rappahannock Rapidan",Male,973,81,16
08/13/2020,Henrico,"Not Reported",24,1,0
08/13/2020,"Cumberland Plateau",Female,220,14,2
08/13/2020,"West Piedmont",Male,520,70,9
08/13/2020,Hampton,"Not Reported",5,0,0
08/13/2020,Alexandria,"Not Reported",10,0,0
08/13/2020,"Western Tidewater","Not Reported",2,0,0
08/13/2020,"Cumberland Plateau","Not Reported",0,0,0
08/13/2020,"Virginia Beach",Male,2385,129,29
08/13/2020,Alleghany,Female,516,19,10
08/13/2020,Lenowisco,Female,241,21,2
08/13/2020,"Virginia Beach","Not Reported",16,0,0
08/13/2020,"Western Tidewater",Female,1237,61,36
08/13/2020,"Mount Rogers",Male,689,88,37
08/13/2020,"Lord Fairfax",Female,1375,108,48
08/13/2020,Piedmont,"Not Reported",4,0,0
08/13/2020,Alexandria,Male,1448,152,27
08/13/2020,Pittsylvania-Danville,"Not Reported",6,0,0
08/13/2020,"West Piedmont","Not Reported",5,0,0
08/13/2020,Loudoun,Female,2706,157,72
08/13/2020,Hampton,Female,706,17,4
08/13/2020,Henrico,Female,2105,169,101
08/13/2020,"Prince William","Not Reported",96,1,0
08/13/2020,Chickahominy,Male,458,67,24
08/13/2020,"Rappahannock Rapidan","Not Reported",2,0,0
08/13/2020,Peninsula,Female,1625,82,26
08/13/2020,Lenowisco,"Not Reported",2,0,0
08/13/2020,Crater,"Not Reported",24,1,0
08/13/2020,Chickahominy,"Not Reported",6,0,0
08/13/2020,Portsmouth,Male,863,60,13
08/13/2020,"New River",Female,265,10,3
08/13/2020,Rappahannock,Female,2021,141,23
08/13/2020,"Central Virginia",Female,820,27,5
08/13/2020,Roanoke,"Not Reported",15,0,0
08/13/2020,"West Piedmont",Female,692,79,8
08/13/2020,"Mount Rogers",Female,789,45,19
08/13/2020,Piedmont,Male,1043,74,27
08/13/2020,Chesterfield,Female,2416,126,51
08/13/2020,Fairfax,Male,8169,1131,275
08/13/2020,Crater,Male,1377,103,32
08/13/2020,"Central Virginia","Not Reported",10,0,0
08/13/2020,"Prince William",Female,5958,431,89
08/13/2020,"Virginia Beach",Female,2803,130,25
08/13/2020,Norfolk,Female,2024,112,16
08/13/2020,"Three Rivers",Female,434,41,10
08/13/2020,Arlington,Male,1583,243,69
08/13/2020,"Central Shenandoah",Female,1537,111,30
08/13/2020,Southside,Female,385,32,20
08/14/2020,Southside,"Not Reported",4,0,0
08/14/2020,Chesapeake,Female,1750,133,18
08/14/2020,Richmond,Female,1671,159,12
08/14/2020,Roanoke,Male,489,15,6
08/14/2020,Fairfax,"Not Reported",116,2,1
08/14/2020,"Thomas Jefferson",Female,1099,79,24
08/14/2020,Chesapeake,"Not Reported",4,0,0
08/14/2020,"Cumberland Plateau",Male,177,16,2
08/14/2020,"Eastern Shore",Female,707,68,25
08/14/2020,"Lord Fairfax","Not Reported",10,0,0
08/14/2020,Rappahannock,"Not Reported",6,1,0
08/14/2020,"Central Shenandoah","Not Reported",0,0,0
08/14/2020,Peninsula,Male,1472,88,21
08/14/2020,Norfolk,Male,1843,108,17
08/14/2020,Alexandria,Female,1574,129,33
08/14/2020,Lenowisco,Male,229,24,6
08/14/2020,Pittsylvania-Danville,Female,542,49,8
08/14/2020,"New River","Not Reported",4,0,0
08/14/2020,Chesterfield,"Not Reported",131,0,2
08/14/2020,Loudoun,Male,2679,201,43
08/14/2020,"Rappahannock Rapidan",Female,1026,58,11
08/14/2020,Piedmont,Female,459,51,8
08/14/2020,Richmond,Male,1592,166,27
08/14/2020,Crater,Female,1143,122,38
08/14/2020,Portsmouth,Female,1066,74,12
08/14/2020,Arlington,"Not Reported",4,0,0
08/14/2020,"Mount Rogers","Not Reported",3,0,0
08/14/2020,"Thomas Jefferson","Not Reported",1,0,0
08/14/2020,"Three Rivers","Not Reported",21,0,0
08/14/2020,Hampton,Male,588,35,3
08/14/2020,Alleghany,Male,461,30,8
08/14/2020,Roanoke,Female,547,14,9
08/14/2020,Loudoun,"Not Reported",35,0,0
08/14/2020,Fairfax,Female,8629,844,268
08/14/2020,"Western Tidewater",Male,1032,75,45
08/14/2020,Peninsula,"Not Reported",14,0,0
08/14/2020,"New River",Male,333,23,5
08/14/2020,"Central Shenandoah",Male,1329,108,30
08/14/2020,Southside,Male,467,37,16
08/14/2020,Chesterfield,Male,2345,141,53
08/14/2020,Arlington,Female,1569,194,66
08/14/2020,Rappahannock,Male,1801,167,35
08/14/2020,"Central Virginia",Male,767,39,11
08/14/2020,Alleghany,"Not Reported",8,0,0
08/14/2020,Henrico,Male,1886,178,86
08/14/2020,"Thomas Jefferson",Male,967,70,20
08/14/2020,"Lord Fairfax",Male,1228,123,42
08/14/2020,"Three Rivers",Male,692,35,7
08/14/2020,Richmond,"Not Reported",45,2,2
08/14/2020,Pittsylvania-Danville,Male,446,31,2
08/14/2020,Portsmouth,"Not Reported",4,0,0
08/14/2020,Norfolk,"Not Reported",3,0,0
08/14/2020,Chesapeake,Male,1404,117,23
08/14/2020,Chickahominy,Female,574,66,22
08/14/2020,"Prince William",Male,5880,555,118
08/14/2020,"Eastern Shore","Not Reported",9,0,0
08/14/2020,"Eastern Shore",Male,698,65,21
08/14/2020,"Rappahannock Rapidan",Male,979,81,16
08/14/2020,Henrico,"Not Reported",23,1,0
08/14/2020,"Cumberland Plateau",Female,222,15,3
08/14/2020,"West Piedmont",Male,533,73,9
08/14/2020,Hampton,"Not Reported",5,0,0
08/14/2020,Alexandria,"Not Reported",10,0,0
08/14/2020,"Western Tidewater","Not Reported",3,0,0
08/14/2020,"Cumberland Plateau","Not Reported",0,0,0
08/14/2020,"Virginia Beach",Male,2411,130,29
08/14/2020,Alleghany,Female,522,19,10
08/14/2020,Lenowisco,Female,251,22,3
08/14/2020,"Virginia Beach","Not Reported",17,0,0
08/14/2020,"Western Tidewater",Female,1266,62,36
08/14/2020,"Mount Rogers",Male,701,90,37
08/14/2020,"Lord Fairfax",Female,1386,108,48
08/14/2020,Piedmont,"Not Reported",4,0,0
08/14/2020,Alexandria,Male,1466,153,28
08/14/2020,Pittsylvania-Danville,"Not Reported",6,0,0
08/14/2020,"West Piedmont","Not Reported",5,0,0
08/14/2020,Loudoun,Female,2727,157,72
08/14/2020,Hampton,Female,716,17,4
08/14/2020,Henrico,Female,2133,171,101
08/14/2020,"Prince William","Not Reported",95,1,0
08/14/2020,Chickahominy,Male,466,67,24
08/14/2020,"Rappahannock Rapidan","Not Reported",2,0,0
08/14/2020,Peninsula,Female,1652,82,26
08/14/2020,Lenowisco,"Not Reported",2,0,0
08/14/2020,Crater,"Not Reported",24,1,0
08/14/2020,Chickahominy,"Not Reported",6,0,0
08/14/2020,Portsmouth,Male,882,60,13
08/14/2020,"New River",Female,270,10,3
08/14/2020,Rappahannock,Female,2041,145,23
08/14/2020,"Central Virginia",Female,847,27,5
08/14/2020,Roanoke,"Not Reported",15,0,0
08/14/2020,"West Piedmont",Female,713,80,8
08/14/2020,"Mount Rogers",Female,802,46,21
08/14/2020,Piedmont,Male,1053,74,27
08/14/2020,Chesterfield,Female,2429,126,51
08/14/2020,Fairfax,Male,8227,1130,275
08/14/2020,Crater,Male,1434,103,32
08/14/2020,"Central Virginia","Not Reported",10,0,0
08/14/2020,"Prince William",Female,6017,431,89
08/14/2020,"Virginia Beach",Female,2849,131,26
08/14/2020,Norfolk,Female,2049,115,16
08/14/2020,"Three Rivers",Female,442,42,10
08/14/2020,Arlington,Male,1603,243,69
08/14/2020,"Central Shenandoah",Female,1545,113,30
08/14/2020,Southside,Female,394,32,20
08/15/2020,Southside,"Not Reported",4,0,0
08/15/2020,Chesapeake,Female,1777,135,18
08/15/2020,Richmond,Female,1690,159,13
08/15/2020,Roanoke,Male,492,15,6
08/15/2020,Fairfax,"Not Reported",120,2,2
08/15/2020,"Thomas Jefferson",Female,1110,79,24
08/15/2020,Chesapeake,"Not Reported",4,0,0
08/15/2020,"Cumberland Plateau",Male,181,16,2
08/15/2020,"Eastern Shore",Female,709,68,25
08/15/2020,"Lord Fairfax","Not Reported",11,0,0
08/15/2020,Rappahannock,"Not Reported",8,1,0
08/15/2020,"Central Shenandoah","Not Reported",0,0,0
08/15/2020,Peninsula,Male,1486,88,21
08/15/2020,Norfolk,Male,1868,111,17
08/15/2020,Alexandria,Female,1591,129,33
08/15/2020,Lenowisco,Male,242,26,7
08/15/2020,Pittsylvania-Danville,Female,552,50,8
08/15/2020,"New River","Not Reported",4,0,0
08/15/2020,Chesterfield,"Not Reported",133,0,2
08/15/2020,Loudoun,Male,2700,203,43
08/15/2020,"Rappahannock Rapidan",Female,1031,58,11
08/15/2020,Piedmont,Female,464,51,8
08/15/2020,Richmond,Male,1604,166,27
08/15/2020,Crater,Female,1162,123,38
08/15/2020,Portsmouth,Female,1072,75,12
08/15/2020,Arlington,"Not Reported",4,0,0
08/15/2020,"Mount Rogers","Not Reported",3,0,0
08/15/2020,"Thomas Jefferson","Not Reported",1,0,0
08/15/2020,"Three Rivers","Not Reported",21,0,0
08/15/2020,Hampton,Male,592,35,4
08/15/2020,Alleghany,Male,463,31,8
08/15/2020,Roanoke,Female,549,15,9
08/15/2020,Loudoun,"Not Reported",33,0,0
08/15/2020,Fairfax,Female,8667,850,269
08/15/2020,"Western Tidewater",Male,1050,75,45
08/15/2020,Peninsula,"Not Reported",14,0,0
08/15/2020,"New River",Male,339,23,5
08/15/2020,"Central Shenandoah",Male,1337,108,30
08/15/2020,Southside,Male,472,37,16
08/15/2020,Chesterfield,Male,2373,141,53
08/15/2020,Arlington,Female,1580,194,66
08/15/2020,Rappahannock,Male,1824,167,35
08/15/2020,"Central Virginia",Male,792,39,11
08/15/2020,Alleghany,"Not Reported",8,0,0
08/15/2020,Henrico,Male,1900,178,86
08/15/2020,"Thomas Jefferson",Male,978,71,20
08/15/2020,"Lord Fairfax",Male,1233,123,44
08/15/2020,"Three Rivers",Male,697,35,7
08/15/2020,Richmond,"Not Reported",45,2,2
08/15/2020,Pittsylvania-Danville,Male,453,31,2
08/15/2020,Portsmouth,"Not Reported",4,0,0
08/15/2020,Norfolk,"Not Reported",2,0,0
08/15/2020,Chesapeake,Male,1416,118,23
08/15/2020,Chickahominy,Female,578,66,22
08/15/2020,"Prince William",Male,5904,555,118
08/15/2020,"Eastern Shore","Not Reported",9,0,0
08/15/2020,"Eastern Shore",Male,700,67,21
08/15/2020,"Rappahannock Rapidan",Male,981,81,16
08/15/2020,Henrico,"Not Reported",23,1,0
08/15/2020,"Cumberland Plateau",Female,229,17,3
08/15/2020,"West Piedmont",Male,538,73,9
08/15/2020,Hampton,"Not Reported",5,0,0
08/15/2020,Alexandria,"Not Reported",11,0,0
08/15/2020,"Western Tidewater","Not Reported",3,0,0
08/15/2020,"Cumberland Plateau","Not Reported",0,0,0
08/15/2020,"Virginia Beach",Male,2430,131,29
08/15/2020,Alleghany,Female,520,20,10
08/15/2020,Lenowisco,Female,266,22,3
08/15/2020,"Virginia Beach","Not Reported",17,0,0
08/15/2020,"Western Tidewater",Female,1283,63,36
08/15/2020,"Mount Rogers",Male,709,91,37
08/15/2020,"Lord Fairfax",Female,1395,108,48
08/15/2020,Piedmont,"Not Reported",4,0,0
08/15/2020,Alexandria,Male,1480,154,28
08/15/2020,Pittsylvania-Danville,"Not Reported",6,0,0
08/15/2020,"West Piedmont","Not Reported",5,0,0
08/15/2020,Loudoun,Female,2749,157,72
08/15/2020,Hampton,Female,724,18,5
08/15/2020,Henrico,Female,2145,172,101
08/15/2020,"Prince William","Not Reported",93,1,0
08/15/2020,Chickahominy,Male,470,67,24
08/15/2020,"Rappahannock Rapidan","Not Reported",3,0,0
08/15/2020,Peninsula,Female,1675,82,26
08/15/2020,Lenowisco,"Not Reported",2,0,0
08/15/2020,Crater,"Not Reported",25,1,0
08/15/2020,Chickahominy,"Not Reported",6,0,0
08/15/2020,Portsmouth,Male,888,62,13
08/15/2020,"New River",Female,274,10,3
08/15/2020,Rappahannock,Female,2060,145,23
08/15/2020,"Central Virginia",Female,867,27,6
08/15/2020,Roanoke,"Not Reported",15,0,0
08/15/2020,"West Piedmont",Female,727,82,9
08/15/2020,"Mount Rogers",Female,817,47,21
08/15/2020,Piedmont,Male,1065,74,27
08/15/2020,Chesterfield,Female,2456,126,51
08/15/2020,Fairfax,Male,8255,1135,275
08/15/2020,Crater,Male,1446,104,32
08/15/2020,"Central Virginia","Not Reported",9,0,0
08/15/2020,"Prince William",Female,6053,432,89
08/15/2020,"Virginia Beach",Female,2875,134,26
08/15/2020,Norfolk,Female,2074,118,17
08/15/2020,"Three Rivers",Female,449,42,10
08/15/2020,Arlington,Male,1612,243,69
08/15/2020,"Central Shenandoah",Female,1559,113,30
08/15/2020,Southside,Female,396,32,20
08/16/2020,Southside,"Not Reported",4,0,0
08/16/2020,Chesapeake,Female,1810,137,18
08/16/2020,Richmond,Female,1698,162,13
08/16/2020,Roanoke,Male,497,15,6
08/16/2020,Fairfax,"Not Reported",120,2,2
08/16/2020,"Thomas Jefferson",Female,1125,80,24
08/16/2020,Chesapeake,"Not Reported",4,0,0
08/16/2020,"Cumberland Plateau",Male,183,16,2
08/16/2020,"Eastern Shore",Female,712,68,25
08/16/2020,"Lord Fairfax","Not Reported",11,0,0
08/16/2020,Rappahannock,"Not Reported",8,1,0
08/16/2020,"Central Shenandoah","Not Reported",0,0,0
08/16/2020,Peninsula,Male,1498,88,21
08/16/2020,Norfolk,Male,1885,113,17
08/16/2020,Alexandria,Female,1601,130,33
08/16/2020,Lenowisco,Male,253,27,7
08/16/2020,Pittsylvania-Danville,Female,564,50,8
08/16/2020,"New River","Not Reported",4,0,0
08/16/2020,Chesterfield,"Not Reported",131,0,2
08/16/2020,Loudoun,Male,2717,203,43
08/16/2020,"Rappahannock Rapidan",Female,1036,58,11
08/16/2020,Piedmont,Female,466,51,8
08/16/2020,Richmond,Male,1610,168,27
08/16/2020,Crater,Female,1174,123,38
08/16/2020,Portsmouth,Female,1072,75,12
08/16/2020,Arlington,"Not Reported",5,0,0
08/16/2020,"Mount Rogers","Not Reported",3,0,0
08/16/2020,"Thomas Jefferson","Not Reported",1,0,0
08/16/2020,"Three Rivers","Not Reported",21,0,0
08/16/2020,Hampton,Male,598,35,4
08/16/2020,Alleghany,Male,463,31,8
08/16/2020,Roanoke,Female,552,15,9
08/16/2020,Loudoun,"Not Reported",32,0,0
08/16/2020,Fairfax,Female,8722,850,269
08/16/2020,"Western Tidewater",Male,1062,77,45
08/16/2020,Peninsula,"Not Reported",14,0,0
08/16/2020,"New River",Male,346,23,5
08/16/2020,"Central Shenandoah",Male,1349,108,30
08/16/2020,Southside,Male,473,37,16
08/16/2020,Chesterfield,Male,2393,141,53
08/16/2020,Arlington,Female,1592,194,66
08/16/2020,Rappahannock,Male,1840,168,35
08/16/2020,"Central Virginia",Male,819,40,11
08/16/2020,Alleghany,"Not Reported",8,0,0
08/16/2020,Henrico,Male,1927,179,86
08/16/2020,"Thomas Jefferson",Male,990,72,20
08/16/2020,"Lord Fairfax",Male,1237,123,44
08/16/2020,"Three Rivers",Male,698,35,7
08/16/2020,Richmond,"Not Reported",46,2,2
08/16/2020,Pittsylvania-Danville,Male,462,32,2
08/16/2020,Portsmouth,"Not Reported",4,0,0
08/16/2020,Norfolk,"Not Reported",2,0,0
08/16/2020,Chesapeake,Male,1444,120,23
08/16/2020,Chickahominy,Female,582,66,22
08/16/2020,"Prince William",Male,5938,556,118
08/16/2020,"Eastern Shore","Not Reported",9,0,0
08/16/2020,"Eastern Shore",Male,701,67,21
08/16/2020,"Rappahannock Rapidan",Male,991,81,16
08/16/2020,Henrico,"Not Reported",22,0,0
08/16/2020,"Cumberland Plateau",Female,234,17,3
08/16/2020,"West Piedmont",Male,538,73,9
08/16/2020,Hampton,"Not Reported",5,0,0
08/16/2020,Alexandria,"Not Reported",11,0,0
08/16/2020,"Western Tidewater","Not Reported",4,0,0
08/16/2020,"Cumberland Plateau","Not Reported",0,0,0
08/16/2020,"Virginia Beach",Male,2461,132,29
08/16/2020,Alleghany,Female,520,20,10
08/16/2020,Lenowisco,Female,272,22,3
08/16/2020,"Virginia Beach","Not Reported",17,0,0
08/16/2020,"Western Tidewater",Female,1303,63,36
08/16/2020,"Mount Rogers",Male,721,94,37
08/16/2020,"Lord Fairfax",Female,1407,109,48
08/16/2020,Piedmont,"Not Reported",4,0,0
08/16/2020,Alexandria,Male,1492,154,28
08/16/2020,Pittsylvania-Danville,"Not Reported",6,0,0
08/16/2020,"West Piedmont","Not Reported",5,0,0
08/16/2020,Loudoun,Female,2762,157,72
08/16/2020,Hampton,Female,734,18,5
08/16/2020,Henrico,Female,2160,173,101
08/16/2020,"Prince William","Not Reported",95,1,0
08/16/2020,Chickahominy,Male,474,67,24
08/16/2020,"Rappahannock Rapidan","Not Reported",3,0,0
08/16/2020,Peninsula,Female,1696,82,26
08/16/2020,Lenowisco,"Not Reported",2,0,0
08/16/2020,Crater,"Not Reported",25,1,0
08/16/2020,Chickahominy,"Not Reported",6,0,0
08/16/2020,Portsmouth,Male,889,62,13
08/16/2020,"New River",Female,279,10,3
08/16/2020,Rappahannock,Female,2078,145,23
08/16/2020,"Central Virginia",Female,895,28,6
08/16/2020,Roanoke,"Not Reported",15,0,0
08/16/2020,"West Piedmont",Female,727,82,9
08/16/2020,"Mount Rogers",Female,835,49,21
08/16/2020,Piedmont,Male,1069,74,27
08/16/2020,Chesterfield,Female,2470,126,51
08/16/2020,Fairfax,Male,8318,1136,275
08/16/2020,Crater,Male,1452,104,32
08/16/2020,"Central Virginia","Not Reported",9,0,0
08/16/2020,"Prince William",Female,6102,433,89
08/16/2020,"Virginia Beach",Female,2916,134,26
08/16/2020,Norfolk,Female,2095,121,17
08/16/2020,"Three Rivers",Female,450,43,10
08/16/2020,Arlington,Male,1632,243,69
08/16/2020,"Central Shenandoah",Female,1572,113,30
08/16/2020,Southside,Female,398,32,20
08/17/2020,Southside,"Not Reported",4,0,0
08/17/2020,Chesapeake,Female,1831,137,18
08/17/2020,Richmond,Female,1722,164,13
08/17/2020,Roanoke,Male,505,15,6
08/17/2020,Fairfax,"Not Reported",122,2,4
08/17/2020,"Thomas Jefferson",Female,1132,80,24
08/17/2020,Chesapeake,"Not Reported",4,0,0
08/17/2020,"Cumberland Plateau",Male,185,16,2
08/17/2020,"Eastern Shore",Female,715,68,25
08/17/2020,"Lord Fairfax","Not Reported",11,0,0
08/17/2020,Rappahannock,"Not Reported",8,1,0
08/17/2020,"Central Shenandoah","Not Reported",0,0,0
08/17/2020,Peninsula,Male,1520,88,21
08/17/2020,Norfolk,Male,1892,113,17
08/17/2020,Alexandria,Female,1614,130,33
08/17/2020,Lenowisco,Male,259,27,7
08/17/2020,Pittsylvania-Danville,Female,571,50,9
08/17/2020,"New River","Not Reported",4,0,0
08/17/2020,Chesterfield,"Not Reported",130,0,2
08/17/2020,Loudoun,Male,2725,203,43
08/17/2020,"Rappahannock Rapidan",Female,1043,58,11
08/17/2020,Piedmont,Female,473,51,8
08/17/2020,Richmond,Male,1636,170,27
08/17/2020,Crater,Female,1186,125,38
08/17/2020,Portsmouth,Female,1091,75,12
08/17/2020,Arlington,"Not Reported",5,0,0
08/17/2020,"Mount Rogers","Not Reported",5,0,0
08/17/2020,"Thomas Jefferson","Not Reported",1,0,0
08/17/2020,"Three Rivers","Not Reported",21,0,0
08/17/2020,Hampton,Male,603,35,4
08/17/2020,Alleghany,Male,473,31,8
08/17/2020,Roanoke,Female,562,16,9
08/17/2020,Loudoun,"Not Reported",32,0,0
08/17/2020,Fairfax,Female,8762,850,269
08/17/2020,"Western Tidewater",Male,1075,79,45
08/17/2020,Peninsula,"Not Reported",14,0,0
08/17/2020,"New River",Male,348,23,5
08/17/2020,"Central Shenandoah",Male,1362,110,30
08/17/2020,Southside,Male,474,37,16
08/17/2020,Chesterfield,Male,2396,141,53
08/17/2020,Arlington,Female,1600,194,66
08/17/2020,Rappahannock,Male,1852,170,35
08/17/2020,"Central Virginia",Male,819,40,11
08/17/2020,Alleghany,"Not Reported",8,0,0
08/17/2020,Henrico,Male,1947,179,86
08/17/2020,"Thomas Jefferson",Male,1001,72,20
08/17/2020,"Lord Fairfax",Male,1238,124,44
08/17/2020,"Three Rivers",Male,704,37,7
08/17/2020,Richmond,"Not Reported",46,2,2
08/17/2020,Pittsylvania-Danville,Male,471,32,2
08/17/2020,Portsmouth,"Not Reported",4,0,0
08/17/2020,Norfolk,"Not Reported",2,0,0
08/17/2020,Chesapeake,Male,1468,120,23
08/17/2020,Chickahominy,Female,586,66,22
08/17/2020,"Prince William",Male,5963,556,118
08/17/2020,"Eastern Shore","Not Reported",9,0,0
08/17/2020,"Eastern Shore",Male,702,67,21
08/17/2020,"Rappahannock Rapidan",Male,995,81,16
08/17/2020,Henrico,"Not Reported",22,0,0
08/17/2020,"Cumberland Plateau",Female,239,17,3
08/17/2020,"West Piedmont",Male,538,73,9
08/17/2020,Hampton,"Not Reported",5,0,0
08/17/2020,Alexandria,"Not Reported",11,0,0
08/17/2020,"Western Tidewater","Not Reported",4,0,0
08/17/2020,"Cumberland Plateau","Not Reported",0,0,0
08/17/2020,"Virginia Beach",Male,2481,133,29
08/17/2020,Alleghany,Female,526,21,10
08/17/2020,Lenowisco,Female,275,22,3
08/17/2020,"Virginia Beach","Not Reported",17,0,0
08/17/2020,"Western Tidewater",Female,1317,63,36
